20151016130051558, '2015-10-16 13:00:51.558000', '--'
20151015130011971, '2015-10-15 13:00:11.971000', '1 day, 0:00:39.587000'
20151014125848313, '2015-10-14 12:58:48.313000', '1 day, 0:01:23.658000'
20151013130231769, '2015-10-13 13:02:31.769000', '23:56:16.544000'
20151012130248652, '2015-10-12 13:02:48.652000', '23:59:43.117000'
20151011130455521, '2015-10-11 13:04:55.521000', '23:57:53.131000'
20151010130033094, '2015-10-10 13:00:33.094000', '1 day, 0:04:22.427000'
20151009130558031, '2015-10-09 13:05:58.031000', '23:54:35.063000'
20151008130208575, '2015-10-08 13:02:08.575000', '1 day, 0:03:49.456000'
20151007125918273, '2015-10-07 12:59:18.273000', '1 day, 0:02:50.302000'
20151006130220413, '2015-10-06 13:02:20.413000', '23:56:57.860000'
20151005130042761, '2015-10-05 13:00:42.761000', '1 day, 0:01:37.652000'
20151004130155662, '2015-10-04 13:01:55.662000', '23:58:47.099000'
20151003125417115, '2015-10-03 12:54:17.115000', '1 day, 0:07:38.547000'
20151002130437775, '2015-10-02 13:04:37.775000', '23:49:39.340000'
20151001125728463, '2015-10-01 12:57:28.463000', '1 day, 0:07:09.312000'
20150930130431902, '2015-09-30 13:04:31.902000', '23:52:56.561000'
20150929125734826, '2015-09-29 12:57:34.826000', '1 day, 0:06:57.076000'
20150928130542737, '2015-09-28 13:05:42.737000', '23:51:52.089000'
20150927130117001, '2015-09-27 13:01:17.001000', '1 day, 0:04:25.736000'
20150926125944203, '2015-09-26 12:59:44.203000', '1 day, 0:01:32.798000'
20150925125155233, '2015-09-25 12:51:55.233000', '1 day, 0:07:48.970000'
20150924125816201, '2015-09-24 12:58:16.201000', '23:53:39.032000'
20150923130708924, '2015-09-23 13:07:08.924000', '23:51:07.277000'
20150922130711049, '2015-09-22 13:07:11.049000', '23:59:57.875000'
20150921130607254, '2015-09-21 13:06:07.254000', '1 day, 0:01:03.795000'
20150920130138237, '2015-09-20 13:01:38.237000', '1 day, 0:04:29.017000'
20150919125947045, '2015-09-19 12:59:47.045000', '1 day, 0:01:51.192000'
20150918125949386, '2015-09-18 12:59:49.386000', '23:59:57.659000'
20150917125713505, '2015-09-17 12:57:13.505000', '1 day, 0:02:35.881000'
20150916125742311, '2015-09-16 12:57:42.311000', '23:59:31.194000'
